age,popsize
0,57489
1,56935
2,56576
3,56379
4,56312
5,56343
6,56442
7,56576
8,56714
9,56825
10,57014
11,57388
12,57224
13,56213
14,54738
15,53492
16,52332
17,51771
18,52130
19,53193
20,54295
21,55427
22,57291
23,60124
24,63568
25,67042
26,70680
27,73796
28,75995
29,77567
30,79218
31,80832
32,82267
33,83528
34,84649
35,85536
36,86079
37,86945
38,88420
39,90129
40,91535
41,92884
42,93066
43,91517
44,88806
45,86183
46,83542
47,80754
48,77926
49,75187
50,72413
51,69460
52,67747
53,67919
54,69310
55,70596
56,72020
57,73091
58,73422
59,73239
60,73088
61,72783
62,72410
63,72040
64,71517
65,70760
66,69957
67,68051
68,64560
69,60045
70,55532
71,50799
72,46565
73,43287
74,40638
75,37843
76,35065
77,32349
78,29642
79,26991
80,24475
81,22057
82,19848
83,17906
84,16163
85,14518
86,13023
87,11461
88,9725
89,7928
90,6030
91,4549
92,3773
93,2831
94,1723
95,1097
96,931
97,728
98,488
99,212
100,164
